"","Respondent","Choice","Option","ChoiceMade","Chosen","Policy","Experience","Party_Affiliation","Gender"
"39",2,10,"A",0,"B","Climate Change Action","Newcomer","Party B","Male"
"40",2,10,"B",1,"B","Healthcare Reform","Experienced","Party B","Male"
"41",3,1,"A",1,"A","Climate Change Action","Veteran","Party B","Male"
"42",3,1,"B",0,"A","Healthcare Reform","Newcomer","Party B","Male"
"43",3,2,"A",1,"A","Climate Change Action","Veteran","Party A","Male"
"44",3,2,"B",0,"A","Tax Cuts","Veteran","Party B","Female"
"45",3,3,"A",1,"A","Tax Cuts","Newcomer","Party B","Female"
"46",3,3,"B",0,"A","Healthcare Reform","Experienced","Party A","Female"
"47",3,4,"A",0,"B","Healthcare Reform","Newcomer","Party A","Female"
"48",3,4,"B",1,"B","Tax Cuts","Veteran","Party A","Male"
"49",3,5,"A",1,"A","Climate Change Action","Experienced","Party B","Female"
"50",3,5,"B",0,"A","Tax Cuts","Newcomer","Party A","Male"
"51",3,6,"A",0,"B","Tax Cuts","Experienced","Party A","Male"
"52",3,6,"B",1,"B","Climate Change Action","Newcomer","Party A","Female"
"53",3,7,"A",1,"A","Healthcare Reform","Experienced","Party B","Female"
"54",3,7,"B",0,"A","Climate Change Action","Veteran","Party A","Female"
"55",3,8,"A",1,"A","Tax Cuts","Experienced","Party A","Female"
"56",3,8,"B",0,"A","Climate Change Action","Newcomer","Party A","Male"
"57",3,9,"A",1,"A","Climate Change Action","Experienced","Party B","Male"
"58",3,9,"B",0,"A","Healthcare Reform","Veteran","Party A","Male"
"59",3,10,"A",1,"A","Healthcare Reform","Veteran","Party B","Female"
"60",3,10,"B",0,"A","Healthcare Reform","Experienced","Party B","Female"
"61",4,1,"A",1,"A","Climate Change Action","Veteran","Party B","Male"
"62",4,1,"B",0,"A","Climate Change Action","Veteran","Party B","Female"
"63",4,2,"A",1,"A","Tax Cuts","Veteran","Party B","Female"
"64",4,2,"B",0,"A","Climate Change Action","Veteran","Party A","Male"
"65",4,3,"A",0,"B","Climate Change Action","Experienced","Party B","Male"
"66",4,3,"B",1,"B","Tax Cuts","Veteran","Party B","Male"
"67",4,4,"A",1,"A","Healthcare Reform","Veteran","Party A","Male"
"68",4,4,"B",0,"A","Climate Change Action","Newcomer","Party B","Female"
"69",4,5,"A",0,"B","Tax Cuts","Veteran","Party A","Male"
"70",4,5,"B",1,"B","Healthcare Reform","Newcomer","Party A","Male"
"71",4,6,"A",0,"B","Climate Change Action","Veteran","Party A","Male"
"72",4,6,"B",1,"B","Tax Cuts","Veteran","Party B","Female"
"73",4,7,"A",0,"B","Healthcare Reform","Veteran","Party A","Female"
"74",4,7,"B",1,"B","Tax Cuts","Newcomer","Party A","Male"
"75",4,8,"A",1,"A","Tax Cuts","Newcomer","Party B","Male"
"76",4,8,"B",0,"A","Healthcare Reform","Experienced","Party A","Male"
"77",4,9,"A",0,"B","Tax Cuts","Newcomer","Party A","Female"
"78",4,9,"B",1,"B","Tax Cuts","Newcomer","Party B","Male"
"79",4,10,"A",1,"A","Climate Change Action","Veteran","Party B","Male"
"80",4,10,"B",0,"A","Tax Cuts","Experienced","Party B","Male"
"81",5,1,"A",1,"A","Climate Change Action","Newcomer","Party A","Male"
"82",5,1,"B",0,"A","Healthcare Reform","Newcomer","Party B","Female"
"83",5,2,"A",1,"A","Climate Change Action","Newcomer","Party A","Male"
"84",5,2,"B",0,"A","Healthcare Reform","Newcomer","Party B","Female"
"85",5,3,"A",0,"B","Tax Cuts","Newcomer","Party B","Female"
"86",5,3,"B",1,"B","Tax Cuts","Experienced","Party A","Female"
"87",5,4,"A",1,"A","Climate Change Action","Experienced","Party B","Male"
"88",5,4,"B",0,"A","Tax Cuts","Experienced","Party A","Female"
"89",5,5,"A",0,"B","Climate Change Action","Experienced","Party A","Female"
"90",5,5,"B",1,"B","Climate Change Action","Experienced","Party B","Female"
"91",5,6,"A",1,"A","Tax Cuts","Newcomer","Party B","Female"
"92",5,6,"B",0,"A","Climate Change Action","Experienced","Party A","Male"
"93",5,7,"A",1,"A","Healthcare Reform","Veteran","Party A","Female"
"94",5,7,"B",0,"A","Tax Cuts","Veteran","Party A","Female"
"95",5,8,"A",0,"B","Climate Change Action","Experienced","Party A","Female"
"96",5,8,"B",1,"B","Tax Cuts","Experienced","Party B","Female"
"97",5,9,"A",0,"B","Tax Cuts","Veteran","Party A","Male"
"98",5,9,"B",1,"B","Healthcare Reform","Veteran","Party B","Male"
"99",5,10,"A",1,"A","Tax Cuts","Experienced","Party B","Female"
"100",5,10,"B",0,"A","Healthcare Reform","Newcomer","Party A","Male"
"101",6,1,"A",1,"A","Climate Change Action","Newcomer","Party B","Female"
"102",6,1,"B",0,"A","Healthcare Reform","Veteran","Party A","Female"
"103",6,2,"A",1,"A","Climate Change Action","Newcomer","Party A","Male"
"104",6,2,"B",0,"A","Healthcare Reform","Experienced","Party A","Female"
"105",6,3,"A",1,"A","Tax Cuts","Veteran","Party B","Male"
"106",6,3,"B",0,"A","Tax Cuts","Newcomer","Party A","Female"
"107",6,4,"A",1,"A","Tax Cuts","Veteran","Party B","Female"
"108",6,4,"B",0,"A","Tax Cuts","Experienced","Party B","Male"
"109",6,5,"A",1,"A","Climate Change Action","Experienced","Party A","Female"
"110",6,5,"B",0,"A","Climate Change Action","Newcomer","Party B","Female"
"111",6,6,"A",0,"B","Tax Cuts","Veteran","Party A","Male"
"112",6,6,"B",1,"B","Tax Cuts","Newcomer","Party A","Female"
"113",6,7,"A",1,"A","Healthcare Reform","Newcomer","Party B","Male"
"114",6,7,"B",0,"A","Healthcare Reform","Experienced","Party A","Female"
"115",6,8,"A",1,"A","Tax Cuts","Veteran","Party B","Male"
"116",6,8,"B",0,"A","Climate Change Action","Veteran","Party A","Male"
"117",6,9,"A",1,"A","Tax Cuts","Veteran","Party B","Female"
"118",6,9,"B",0,"A","Climate Change Action","Newcomer","Party A","Female"
"119",6,10,"A",0,"B","Healthcare Reform","Veteran","Party B","Male"
"120",6,10,"B",1,"B","Tax Cuts","Veteran","Party A","Female"
"121",7,1,"A",1,"A","Tax Cuts","Veteran","Party B","Female"
"122",7,1,"B",0,"A","Climate Change Action","Veteran","Party B","Female"
"123",7,2,"A",1,"A","Tax Cuts","Veteran","Party A","Female"
"124",7,2,"B",0,"A","Healthcare Reform","Experienced","Party B","Male"
"125",7,3,"A",1,"A","Climate Change Action","Veteran","Party B","Female"
"126",7,3,"B",0,"A","Healthcare Reform","Veteran","Party A","Female"
"127",7,4,"A",1,"A","Healthcare Reform","Newcomer","Party B","Female"
"128",7,4,"B",0,"A","Tax Cuts","Newcomer","Party B","Female"
"129",7,5,"A",0,"B","Healthcare Reform","Experienced","Party B","Male"
"130",7,5,"B",1,"B","Climate Change Action","Newcomer","Party A","Female"
"131",7,6,"A",1,"A","Healthcare Reform","Veteran","Party A","Female"
"132",7,6,"B",0,"A","Tax Cuts","Newcomer","Party B","Female"
"133",7,7,"A",1,"A","Tax Cuts","Newcomer","Party A","Female"
"134",7,7,"B",0,"A","Tax Cuts","Newcomer","Party B","Female"
"135",7,8,"A",0,"B","Healthcare Reform","Experienced","Party B","Male"
"136",7,8,"B",1,"B","Climate Change Action","Veteran","Party B","Female"
"137",7,9,"A",1,"A","Tax Cuts","Veteran","Party B","Female"
"138",7,9,"B",0,"A","Tax Cuts","Experienced","Party A","Male"
"139",7,10,"A",1,"A","Healthcare Reform","Experienced","Party B","Male"
"140",7,10,"B",0,"A","Tax Cuts","Experienced","Party A","Female"
"141",8,1,"A",0,"B","Healthcare Reform","Newcomer","Party B","Female"
"142",8,1,"B",1,"B","Tax Cuts","Veteran","Party A","Male"
"143",8,2,"A",1,"A","Climate Change Action","Experienced","Party A","Female"
"144",8,2,"B",0,"A","Healthcare Reform","Veteran","Party B","Male"
"145",8,3,"A",1,"A","Tax Cuts","Newcomer","Party B","Male"
"146",8,3,"B",0,"A","Tax Cuts","Experienced","Party A","Female"
"147",8,4,"A",0,"B","Climate Change Action","Newcomer","Party B","Female"
"148",8,4,"B",1,"B","Tax Cuts","Experienced","Party B","Female"
"149",8,5,"A",1,"A","Climate Change Action","Veteran","Party A","Female"
"150",8,5,"B",0,"A","Climate Change Action","Experienced","Party B","Male"
"151",8,6,"A",0,"B","Healthcare Reform","Newcomer","Party A","Male"
"152",8,6,"B",1,"B","Healthcare Reform","Newcomer","Party B","Male"
"153",8,7,"A",1,"A","Healthcare Reform","Experienced","Party A","Female"
"154",8,7,"B",0,"A","Healthcare Reform","Veteran","Party A","Female"
"155",8,8,"A",1,"A","Climate Change Action","Newcomer","Party B","Female"
"156",8,8,"B",0,"A","Climate Change Action","Veteran","Party A","Female"
"157",8,9,"A",1,"A","Climate Change Action","Veteran","Party A","Male"
"158",8,9,"B",0,"A","Healthcare Reform","Newcomer","Party A","Female"
"159",8,10,"A",1,"A","Tax Cuts","Veteran","Party B","Female"
"160",8,10,"B",0,"A","Healthcare Reform","Veteran","Party B","Female"
"161",9,1,"A",0,"B","Tax Cuts","Experienced","Party A","Female"
"162",9,1,"B",1,"B","Climate Change Action","Newcomer","Party B","Male"
"163",9,2,"A",0,"B","Climate Change Action","Experienced","Party B","Male"
"164",9,2,"B",1,"B","Tax Cuts","Veteran","Party B","Female"
"165",9,3,"A",0,"B","Tax Cuts","Newcomer","Party B","Female"
"166",9,3,"B",1,"B","Healthcare Reform","Veteran","Party A","Male"
"167",9,4,"A",1,"A","Tax Cuts","Newcomer","Party B","Female"
"168",9,4,"B",0,"A","Healthcare Reform","Veteran","Party B","Female"
"169",9,5,"A",0,"B","Climate Change Action","Veteran","Party A","Male"
"170",9,5,"B",1,"B","Healthcare Reform","Newcomer","Party A","Male"
"171",9,6,"A",0,"B","Healthcare Reform","Newcomer","Party B","Male"
"172",9,6,"B",1,"B","Tax Cuts","Experienced","Party A","Female"
"173",9,7,"A",0,"B","Climate Change Action","Experienced","Party A","Male"
"174",9,7,"B",1,"B","Tax Cuts","Experienced","Party B","Female"
"175",9,8,"A",1,"A","Healthcare Reform","Veteran","Party B","Male"
"176",9,8,"B",0,"A","Tax Cuts","Veteran","Party A","Female"
"177",9,9,"A",1,"A","Healthcare Reform","Veteran","Party B","Male"
"178",9,9,"B",0,"A","Tax Cuts","Newcomer","Party A","Male"
"179",9,10,"A",1,"A","Healthcare Reform","Veteran","Party B","Female"
"180",9,10,"B",0,"A","Tax Cuts","Experienced","Party B","Male"
"181",10,1,"A",1,"A","Climate Change Action","Newcomer","Party B","Female"
"182",10,1,"B",0,"A","Healthcare Reform","Newcomer","Party B","Female"
"183",10,2,"A",1,"A","Climate Change Action","Newcomer","Party A","Female"
"184",10,2,"B",0,"A","Tax Cuts","Experienced","Party A","Female"
"185",10,3,"A",1,"A","Climate Change Action","Newcomer","Party B","Female"
"186",10,3,"B",0,"A","Healthcare Reform","Veteran","Party A","Female"
"187",10,4,"A",1,"A","Climate Change Action","Experienced","Party A","Male"
"188",10,4,"B",0,"A","Healthcare Reform","Experienced","Party A","Male"
"189",10,5,"A",0,"B","Climate Change Action","Newcomer","Party A","Male"
"190",10,5,"B",1,"B","Healthcare Reform","Newcomer","Party B","Male"
"191",10,6,"A",1,"A","Healthcare Reform","Newcomer","Party B","Female"
"192",10,6,"B",0,"A","Climate Change Action","Newcomer","Party B","Male"
"193",10,7,"A",1,"A","Climate Change Action","Newcomer","Party A","Male"
"194",10,7,"B",0,"A","Healthcare Reform","Newcomer","Party A","Male"
"195",10,8,"A",1,"A","Climate Change Action","Experienced","Party B","Female"
"196",10,8,"B",0,"A","Healthcare Reform","Experienced","Party B","Male"
"197",10,9,"A",1,"A","Climate Change Action","Experienced","Party B","Male"
"198",10,9,"B",0,"A","Healthcare Reform","Experienced","Party B","Male"
"199",10,10,"A",1,"A","Climate Change Action","Newcomer","Party B","Female"
"200",10,10,"B",0,"A","Climate Change Action","Veteran","Party B","Male"
"201",11,1,"A",1,"A","Tax Cuts","Veteran","Party A","Female"
"202",11,1,"B",0,"A","Climate Change Action","Newcomer","Party A","Male"
"203",11,2,"A",1,"A","Healthcare Reform","Veteran","Party A","Female"
"204",11,2,"B",0,"A","Tax Cuts","Newcomer","Party B","Male"
"205",11,3,"A",0,"B","Climate Change Action","Newcomer","Party B","Female"
"206",11,3,"B",1,"B","Healthcare Reform","Veteran","Party B","Male"
"207",11,4,"A",1,"A","Tax Cuts","Newcomer","Party B","Male"
"208",11,4,"B",0,"A","Tax Cuts","Experienced","Party B","Female"
"209",11,5,"A",1,"A","Healthcare Reform","Experienced","Party B","Female"
"210",11,5,"B",0,"A","Tax Cuts","Newcomer","Party A","Male"
"211",11,6,"A",0,"B","Healthcare Reform","Experienced","Party A","Female"
"212",11,6,"B",1,"B","Tax Cuts","Veteran","Party B","Male"
"213",11,7,"A",1,"A","Tax Cuts","Experienced","Party A","Male"
"214",11,7,"B",0,"A","Climate Change Action","Experienced","Party B","Male"
"215",11,8,"A",1,"A","Tax Cuts","Experienced","Party B","Female"
"216",11,8,"B",0,"A","Tax Cuts","Veteran","Party B","Female"
"217",11,9,"A",1,"A","Climate Change Action","Veteran","Party A","Female"
"218",11,9,"B",0,"A","Healthcare Reform","Experienced","Party A","Female"
"219",11,10,"A",1,"A","Healthcare Reform","Veteran","Party A","Female"
"220",11,10,"B",0,"A","Climate Change Action","Experienced","Party B","Male"
"221",12,1,"A",1,"A","Tax Cuts","Veteran","Party B","Female"
"222",12,1,"B",0,"A","Climate Change Action","Newcomer","Party B","Female"
"223",12,2,"A",1,"A","Healthcare Reform","Veteran","Party B","Female"
"224",12,2,"B",0,"A","Tax Cuts","Experienced","Party A","Male"
"225",12,3,"A",1,"A","Tax Cuts","Experienced","Party A","Male"
"226",12,3,"B",0,"A","Healthcare Reform","Veteran","Party A","Male"
"227",12,4,"A",1,"A","Tax Cuts","Newcomer","Party A","Male"
"228",12,4,"B",0,"A","Healthcare Reform","Veteran","Party B","Male"
"229",12,5,"A",1,"A","Tax Cuts","Experienced","Party A","Female"
"230",12,5,"B",0,"A","Climate Change Action","Veteran","Party B","Female"
"231",12,6,"A",0,"B","Climate Change Action","Experienced","Party A","Female"
"232",12,6,"B",1,"B","Climate Change Action","Newcomer","Party A","Female"
"233",12,7,"A",1,"A","Climate Change Action","Veteran","Party B","Male"
"234",12,7,"B",0,"A","Healthcare Reform","Newcomer","Party A","Female"
"235",12,8,"A",0,"B","Climate Change Action","Veteran","Party A","Male"
"236",12,8,"B",1,"B","Healthcare Reform","Newcomer","Party A","Female"
"237",12,9,"A",1,"A","Healthcare Reform","Newcomer","Party A","Female"
"238",12,9,"B",0,"A","Tax Cuts","Experienced","Party A","Male"
"239",12,10,"A",0,"B","Healthcare Reform","Veteran","Party B","Male"
"240",12,10,"B",1,"B","Tax Cuts","Experienced","Party B","Female"
"241",13,1,"A",1,"A","Climate Change Action","Experienced","Party B","Male"
"242",13,1,"B",0,"A","Tax Cuts","Veteran","Party A","Female"
"243",13,2,"A",0,"B","Tax Cuts","Newcomer","Party A","Female"
"244",13,2,"B",1,"B","Tax Cuts","Veteran","Party B","Female"
"245",13,3,"A",1,"A","Healthcare Reform","Experienced","Party B","Female"
"246",13,3,"B",0,"A","Climate Change Action","Experienced","Party A","Female"
"247",13,4,"A",0,"B","Tax Cuts","Veteran","Party B","Male"
"248",13,4,"B",1,"B","Healthcare Reform","Veteran","Party A","Male"
"249",13,5,"A",1,"A","Healthcare Reform","Experienced","Party B","Male"
"250",13,5,"B",0,"A","Tax Cuts","Veteran","Party B","Female"
"251",13,6,"A",0,"B","Healthcare Reform","Experienced","Party B","Male"
"252",13,6,"B",1,"B","Tax Cuts","Experienced","Party B","Male"
"253",13,7,"A",1,"A","Healthcare Reform","Experienced","Party A","Male"
"254",13,7,"B",0,"A","Healthcare Reform","Veteran","Party A","Female"
"255",13,8,"A",0,"B","Tax Cuts","Newcomer","Party B","Female"
"256",13,8,"B",1,"B","Healthcare Reform","Veteran","Party B","Male"
"257",13,9,"A",1,"A","Climate Change Action","Veteran","Party A","Male"
"258",13,9,"B",0,"A","Healthcare Reform","Experienced","Party A","Female"
"259",13,10,"A",0,"B","Healthcare Reform","Experienced","Party A","Female"
"260",13,10,"B",1,"B","Climate Change Action","Experienced","Party A","Female"
"261",14,1,"A",1,"A","Tax Cuts","Experienced","Party B","Male"
"262",14,1,"B",0,"A","Climate Change Action","Newcomer","Party B","Female"
"263",14,2,"A",0,"B","Healthcare Reform","Experienced","Party B","Female"
"264",14,2,"B",1,"B","Tax Cuts","Veteran","Party A","Male"
"265",14,3,"A",0,"B","Tax Cuts","Experienced","Party B","Male"
"266",14,3,"B",1,"B","Healthcare Reform","Newcomer","Party A","Male"
"267",14,4,"A",1,"A","Tax Cuts","Experienced","Party A","Female"
"268",14,4,"B",0,"A","Tax Cuts","Veteran","Party A","Female"
"269",14,5,"A",1,"A","Tax Cuts","Experienced","Party A","Female"
"270",14,5,"B",0,"A","Healthcare Reform","Experienced","Party B","Female"
"271",14,6,"A",1,"A","Climate Change Action","Newcomer","Party A","Female"
"272",14,6,"B",0,"A","Tax Cuts","Veteran","Party B","Male"
"273",14,7,"A",1,"A","Healthcare Reform","Veteran","Party A","Male"
"274",14,7,"B",0,"A","Climate Change Action","Newcomer","Party B","Male"
"275",14,8,"A",1,"A","Tax Cuts","Experienced","Party B","Female"
"276",14,8,"B",0,"A","Healthcare Reform","Newcomer","Party A","Female"
"277",14,9,"A",0,"B","Healthcare Reform","Newcomer","Party A","Female"
"278",14,9,"B",1,"B","Healthcare Reform","Veteran","Party A","Female"
"279",14,10,"A",0,"B","Tax Cuts","Veteran","Party B","Male"
"280",14,10,"B",1,"B","Climate Change Action","Veteran","Party A","Male"
"281",15,1,"A",1,"A","Tax Cuts","Experienced","Party A","Female"
"282",15,1,"B",0,"A","Healthcare Reform","Experienced","Party B","Female"
"283",15,2,"A",0,"B","Climate Change Action","Experienced","Party B","Female"
"284",15,2,"B",1,"B","Healthcare Reform","Veteran","Party B","Male"
"285",15,3,"A",1,"A","Tax Cuts","Veteran","Party A","Male"
"286",15,3,"B",0,"A","Tax Cuts","Experienced","Party A","Male"
"287",15,4,"A",1,"A","Healthcare Reform","Newcomer","Party B","Male"
"288",15,4,"B",0,"A","Healthcare Reform","Newcomer","Party B","Female"
"289",15,5,"A",0,"B","Healthcare Reform","Newcomer","Party A","Female"
"290",15,5,"B",1,"B","Climate Change Action","Experienced","Party B","Female"
"291",15,6,"A",1,"A","Healthcare Reform","Veteran","Party B","Male"
"292",15,6,"B",0,"A","Climate Change Action","Experienced","Party A","Male"
"293",15,7,"A",1,"A","Tax Cuts","Veteran","Party A","Male"
"294",15,7,"B",0,"A","Healthcare Reform","Veteran","Party A","Female"
"295",15,8,"A",1,"A","Tax Cuts","Experienced","Party B","Male"
"296",15,8,"B",0,"A","Healthcare Reform","Experienced","Party B","Female"
"297",15,9,"A",1,"A","Healthcare Reform","Veteran","Party A","Female"
"298",15,9,"B",0,"A","Tax Cuts","Veteran","Party A","Male"
"299",15,10,"A",1,"A","Climate Change Action","Experienced","Party A","Female"
"300",15,10,"B",0,"A","Tax Cuts","Experienced","Party A","Male"
"301",16,1,"A",0,"B","Tax Cuts","Experienced","Party B","Male"
"302",16,1,"B",1,"B","Climate Change Action","Experienced","Party B","Female"
"303",16,2,"A",0,"B","Healthcare Reform","Newcomer","Party A","Male"
"304",16,2,"B",1,"B","Tax Cuts","Veteran","Party B","Female"
"305",16,3,"A",1,"A","Healthcare Reform","Experienced","Party A","Male"
"306",16,3,"B",0,"A","Tax Cuts","Veteran","Party B","Female"
"307",16,4,"A",0,"B","Climate Change Action","Veteran","Party B","Male"
"308",16,4,"B",1,"B","Healthcare Reform","Newcomer","Party B","Male"
"309",16,5,"A",0,"B","Climate Change Action","Newcomer","Party B","Male"
"310",16,5,"B",1,"B","Climate Change Action","Newcomer","Party A","Male"
"311",16,6,"A",0,"B","Tax Cuts","Veteran","Party A","Female"
"312",16,6,"B",1,"B","Climate Change Action","Newcomer","Party B","Male"
"313",16,7,"A",1,"A","Tax Cuts","Veteran","Party A","Male"
"314",16,7,"B",0,"A","Tax Cuts","Veteran","Party B","Male"
"315",16,8,"A",1,"A","Tax Cuts","Experienced","Party A","Male"
"316",16,8,"B",0,"A","Healthcare Reform","Newcomer","Party A","Female"
"317",16,9,"A",0,"B","Tax Cuts","Experienced","Party B","Female"
"318",16,9,"B",1,"B","Tax Cuts","Newcomer","Party A","Male"
"319",16,10,"A",0,"B","Tax Cuts","Veteran","Party B","Male"
"320",16,10,"B",1,"B","Tax Cuts","Veteran","Party A","Male"
"321",17,1,"A",1,"A","Climate Change Action","Veteran","Party B","Male"
"322",17,1,"B",0,"A","Tax Cuts","Veteran","Party A","Female"
"323",17,2,"A",1,"A","Climate Change Action","Newcomer","Party B","Female"
"324",17,2,"B",0,"A","Healthcare Reform","Newcomer","Party A","Female"
"325",17,3,"A",1,"A","Tax Cuts","Experienced","Party A","Male"
"326",17,3,"B",0,"A","Tax Cuts","Newcomer","Party B","Female"
"327",17,4,"A",0,"B","Tax Cuts","Newcomer","Party B","Female"
"328",17,4,"B",1,"B","Climate Change Action","Newcomer","Party B","Male"
"329",17,5,"A",0,"B","Healthcare Reform","Newcomer","Party A","Male"
"330",17,5,"B",1,"B","Climate Change Action","Newcomer","Party B","Female"
"331",17,6,"A",1,"A","Healthcare Reform","Veteran","Party A","Male"
"332",17,6,"B",0,"A","Tax Cuts","Experienced","Party A","Male"
"333",17,7,"A",1,"A","Healthcare Reform","Newcomer","Party B","Male"
"334",17,7,"B",0,"A","Tax Cuts","Veteran","Party A","Male"
"335",17,8,"A",1,"A","Healthcare Reform","Experienced","Party B","Female"
"336",17,8,"B",0,"A","Tax Cuts","Experienced","Party A","Male"
"337",17,9,"A",1,"A","Healthcare Reform","Experienced","Party A","Female"
"338",17,9,"B",0,"A","Climate Change Action","Newcomer","Party B","Male"
"339",17,10,"A",0,"B","Healthcare Reform","Newcomer","Party B","Male"
"340",17,10,"B",1,"B","Tax Cuts","Newcomer","Party B","Female"
"341",18,1,"A",1,"A","Climate Change Action","Newcomer","Party B","Female"
"342",18,1,"B",0,"A","Healthcare Reform","Newcomer","Party A","Male"
"343",18,2,"A",1,"A","Tax Cuts","Experienced","Party B","Male"
"344",18,2,"B",0,"A","Healthcare Reform","Veteran","Party A","Male"
"345",18,3,"A",0,"B","Healthcare Reform","Veteran","Party B","Female"
"346",18,3,"B",1,"B","Healthcare Reform","Newcomer","Party B","Male"
"347",18,4,"A",1,"A","Climate Change Action","Experienced","Party B","Male"
"348",18,4,"B",0,"A","Healthcare Reform","Newcomer","Party A","Female"
"349",18,5,"A",1,"A","Climate Change Action","Veteran","Party B","Male"
"350",18,5,"B",0,"A","Healthcare Reform","Experienced","Party A","Female"
"351",18,6,"A",1,"A","Climate Change Action","Veteran","Party B","Male"
"352",18,6,"B",0,"A","Climate Change Action","Newcomer","Party A","Male"
"353",18,7,"A",0,"B","Climate Change Action","Veteran","Party B","Male"
"354",18,7,"B",1,"B","Healthcare Reform","Newcomer","Party A","Male"
"355",18,8,"A",1,"A","Climate Change Action","Experienced","Party B","Male"
"356",18,8,"B",0,"A","Climate Change Action","Experienced","Party A","Male"
"357",18,9,"A",1,"A","Climate Change Action","Experienced","Party B","Female"
"358",18,9,"B",0,"A","Healthcare Reform","Newcomer","Party B","Male"
"359",18,10,"A",1,"A","Healthcare Reform","Veteran","Party B","Female"
"360",18,10,"B",0,"A","Tax Cuts","Veteran","Party A","Female"
"361",19,1,"A",1,"A","Climate Change Action","Veteran","Party B","Male"
"362",19,1,"B",0,"A","Tax Cuts","Experienced","Party A","Male"
"363",19,2,"A",1,"A","Tax Cuts","Veteran","Party B","Female"
"364",19,2,"B",0,"A","Climate Change Action","Experienced","Party A","Male"
"365",19,3,"A",1,"A","Tax Cuts","Newcomer","Party B","Female"
"366",19,3,"B",0,"A","Climate Change Action","Veteran","Party A","Male"
"367",19,4,"A",1,"A","Healthcare Reform","Experienced","Party A","Female"
"368",19,4,"B",0,"A","Tax Cuts","Newcomer","Party A","Female"
"369",19,5,"A",1,"A","Climate Change Action","Newcomer","Party B","Female"
"370",19,5,"B",0,"A","Tax Cuts","Experienced","Party B","Male"
"371",19,6,"A",0,"B","Tax Cuts","Newcomer","Party B","Female"
"372",19,6,"B",1,"B","Tax Cuts","Newcomer","Party B","Male"
"373",19,7,"A",0,"B","Tax Cuts","Newcomer","Party A","Female"
"374",19,7,"B",1,"B","Tax Cuts","Veteran","Party B","Male"
"375",19,8,"A",1,"A","Climate Change Action","Experienced","Party A","Female"
"376",19,8,"B",0,"A","Healthcare Reform","Veteran","Party A","Female"
"377",19,9,"A",0,"B","Healthcare Reform","Experienced","Party B","Male"
"378",19,9,"B",1,"B","Climate Change Action","Newcomer","Party B","Male"
"379",19,10,"A",0,"B","Climate Change Action","Experienced","Party A","Male"
